xls,site_name,proxy,age,age_uncertainty_older,age_uncertainty_younger,co2,co2_uncertainty_higher,co2_uncertainty_lower,reference,doi,co2_as_published,proxy_category,category_reason,co2_superseded,co2_recalculated,co2_revised_reason,age_as_published,age_quarantined,age_superseded,age_recalculated,age_revised_reason,modern_latitude,modern_longitude
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,50705,240.11,240.11,1157.47,221.02,211.38,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,9.4333,-54.7333
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,50856,240.79,240.79,1135.38,235.29,187.47,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,9.4333,-54.7333
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,51980,245.83,245.83,1285.1,286.79,217.55,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,9.4333,-54.7333
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,51980,245.83,245.83,1011.62,207.35,171.26,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,9.4333,-54.7333
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,53628,253.21,253.21,1027.76,214.7,179.05,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,9.4333,-54.7333
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,54678,257.91,257.91,647.83,122.7,97.49,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,9.4333,-54.7328
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,55541,261.77,261.77,796.67,163.04,127.04,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,9.4333,-54.7333
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,35607.55,171.73,171.73,910.3,180.67,160.46,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,18.4403,-179.5558
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,36396.42,175.34,175.34,871.97,199.35,157.48,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,18.4403,-179.5558
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,36963.28,177.93,177.93,883,190.95,138.92,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,18.4403,-179.5558
